;hh_number;factor;income;hh_structure;education;domicile_size;age;age_cat
1247;112191;951;8267.25;nuclear;Secundaria completa;>100000;30;25-34
1248;112197;434;57784.06;ampliado;Primaria incompleta;2500-15000;49;45-54
1249;113001;459;15123;nuclear;Primaria completa;2500-15000;32;25-34
1250;113004;459;20249.73;nuclear;Secundaria incompleta;2500-15000;25;25-34
1251;113016;578;15546.46;ampliado;Primaria incompleta;15000-100000;58;55-64
1252;113024;640;15123.05;nuclear;Secundaria incompleta;15000-100000;34;25-34
1253;113026;1216;76139.58;nuclear;Profesional incompleta;<2500;48;45-54
1254;113031;424;9981.18;nuclear;Secundaria completa;2500-15000;30;25-34
1255;113033;424;35048.99;nuclear;Secundaria completa;2500-15000;37;35-44
1256;113039;348;13686.6;nuclear;Primaria incompleta;2500-15000;46;45-54
1257;113041;784;12622.67;nuclear;Primaria incompleta;15000-100000;34;25-34
1258;113045;784;75068.25;ampliado;Profesional completa;15000-100000;55;55-64
1259;113052;669;17232.2;nuclear;Secundaria completa;<2500;50;45-54
1260;113062;527;15909.42;nuclear;Primaria incompleta;<2500;45;45-54
1261;113082;1160;20098.53;nuclear;Primaria completa;<2500;30;25-34
1262;113083;1160;20925.25;nuclear;Sin instruccion;<2500;49;45-54
1263;113085;1160;21162.17;nuclear;Secundaria completa;<2500;20;<25
1264;113091;676;43700.51;ampliado;Primaria completa;<2500;40;35-44
1265;113115;842;209524.22;nuclear;Profesional completa;<2500;50;45-54
1266;113120;646;23436.67;ampliado;Primaria completa;<2500;58;55-64
1267;113122;741;44749.09;nuclear;Preparatoria completa;<2500;58;55-64
1268;113124;741;106314.77;nuclear;Profesional completa;<2500;45;45-54
1269;113132;461;27140.82;ampliado;Primaria completa;2500-15000;55;55-64
1270;113137;829;13761.96;nuclear;Sin instruccion;>100000;83;>=75
1271;113146;985;29102.83;nuclear;Secundaria completa;<2500;36;35-44
1272;113154;815;37545.41;ampliado;Preparatoria completa;>100000;31;25-34
1273;113160;1605;51725.8;nuclear;Primaria completa;2500-15000;67;65-74
1274;113167;445;52224.84;nuclear;Posgrado;2500-15000;39;35-44
1275;113173;704;20430.19;nuclear;Sin instruccion;>100000;49;45-54
1276;113174;704;4839.37;nuclear;Sin instruccion;>100000;78;>=75
1277;113177;704;1109.02;nuclear;Primaria completa;>100000;17;<25
1278;113183;434;48043.92;nuclear;Preparatoria completa;2500-15000;48;45-54
1279;113184;434;24411.12;nuclear;Primaria incompleta;2500-15000;58;55-64
1280;113185;434;48696.09;ampliado;Secundaria completa;2500-15000;38;35-44
1281;113196;1006;17341.09;nuclear;Secundaria incompleta;>100000;33;25-34
1282;113199;1006;7122.99;nuclear;Primaria incompleta;>100000;29;25-34
1283;113204;965;13005.8;ampliado;Primaria incompleta;>100000;50;45-54
1284;113208;965;10283.67;ampliado;Primaria incompleta;>100000;42;35-44
1285;113217;704;12098.45;unipersonal;Primaria incompleta;>100000;57;55-64
1286;113218;704;11614.47;nuclear;Primaria incompleta;>100000;59;55-64
1287;114001;571;14975.83;nuclear;Primaria incompleta;>100000;47;45-54
1288;114012;375;17643.62;nuclear;Secundaria incompleta;2500-15000;39;35-44
1289;114017;770;17079.98;compuesto;Preparatoria completa;<2500;30;25-34
1290;114019;770;40631.6;nuclear;Posgrado;<2500;57;55-64
1291;114027;699;59705.72;ampliado;Primaria incompleta;>100000;56;55-64
1292;114034;591;10949.07;nuclear;Primaria incompleta;>100000;51;45-54
1293;114036;591;6770.6;nuclear;Sin instruccion;>100000;86;>=75
1294;114045;318;17628.95;nuclear;Primaria completa;15000-100000;28;25-34
1295;114053;486;26918.97;nuclear;Primaria incompleta;2500-15000;33;25-34
1296;114061;703;9436.76;nuclear;Primaria incompleta;15000-100000;38;35-44
1297;114063;703;16217.95;ampliado;Primaria completa;15000-100000;42;35-44
1298;114066;819;50032.03;ampliado;Secundaria completa;<2500;61;55-64
1299;114072;840;28774.05;nuclear;Secundaria completa;<2500;34;25-34
1300;114079;815;33573.31;nuclear;Primaria incompleta;<2500;63;55-64
1301;114086;164;23088.89;nuclear;Primaria completa;<2500;37;35-44
1302;114090;164;17845.16;nuclear;Secundaria completa;<2500;23;<25
1303;114091;738;25283.69;nuclear;Primaria incompleta;<2500;53;45-54
1304;114096;908;42304.21;nuclear;Primaria completa;<2500;66;65-74
1305;114099;908;29779.78;nuclear;Preparatoria completa;<2500;68;65-74
1306;114105;785;33729.39;ampliado;Secundaria incompleta;<2500;41;35-44
1307;114107;852;13899.16;nuclear;Primaria incompleta;<2500;69;65-74
1308;114108;852;44492.55;nuclear;Secundaria completa;<2500;34;25-34
1309;114109;852;16937.84;nuclear;Primaria incompleta;<2500;66;65-74
1310;114118;642;16963;nuclear;Secundaria completa;<2500;32;25-34
1311;114137;742;59676.47;ampliado;Primaria incompleta;>100000;52;45-54
1312;114138;742;46039.6;ampliado;Primaria incompleta;>100000;73;65-74
1313;114141;742;47183.8;nuclear;Primaria incompleta;>100000;42;35-44
1314;114146;304;12098.45;nuclear;Secundaria completa;2500-15000;52;45-54
1315;114153;354;24751.37;nuclear;Preparatoria incompleta;2500-15000;31;25-34
1316;114162;635;26078.13;ampliado;Secundaria completa;15000-100000;45;45-54
1317;114163;635;5996.82;nuclear;Primaria incompleta;15000-100000;49;45-54
1318;114180;699;23148.38;ampliado;Primaria completa;>100000;63;55-64
1319;114185;354;12713.44;nuclear;Secundaria completa;>100000;27;25-34
1320;114189;354;91796.79;nuclear;Posgrado;>100000;41;35-44
1321;114190;354;15123.08;unipersonal;Secundaria completa;>100000;51;45-54
1322;114207;761;53495.14;nuclear;Preparatoria completa;15000-100000;52;45-54
1323;114210;465;46908.54;ampliado;Sin instruccion;2500-15000;66;65-74
1324;115004;459;38832.89;ampliado;Sin instruccion;2500-15000;63;55-64
1325;115005;459;11874.75;ampliado;Primaria completa;2500-15000;54;45-54
1326;115006;262;67310.85;nuclear;Profesional incompleta;2500-15000;54;45-54
1327;115046;562;9501.36;nuclear;Sin instruccion;>100000;48;45-54
1328;115048;562;22295.53;ampliado;Sin instruccion;>100000;41;35-44
1329;115051;527;17271.85;unipersonal;Secundaria completa;2500-15000;31;25-34
1330;115053;527;13089.57;nuclear;Secundaria completa;2500-15000;31;25-34
1331;115062;348;18122.69;nuclear;Secundaria completa;2500-15000;35;35-44
1332;115066;784;10418.28;ampliado;Sin instruccion;15000-100000;75;>=75
1333;115088;699;25092.14;nuclear;Primaria completa;<2500;65;65-74
1334;115104;833;15690.57;nuclear;Primaria completa;<2500;37;35-44
1335;115112;731;17337.1;nuclear;Preparatoria completa;<2500;37;35-44
1336;115125;725;87236.74;nuclear;Profesional completa;<2500;47;45-54
1337;115152;637;15341.65;ampliado;Secundaria completa;15000-100000;42;35-44
1338;115155;637;17012.18;nuclear;Secundaria completa;15000-100000;32;25-34
1339;115160;754;40926.08;ampliado;Preparatoria incompleta;<2500;45;45-54
1340;115178;2180;21278.79;nuclear;Secundaria completa;2500-15000;41;35-44
1341;115190;445;79923.41;nuclear;Profesional completa;2500-15000;45;45-54
1342;115197;944;28429.12;nuclear;Preparatoria incompleta;15000-100000;43;35-44
1343;115204;1006;22050.88;nuclear;Primaria incompleta;>100000;45;45-54
1344;115216;965;19202.14;nuclear;Primaria incompleta;>100000;73;65-74
1345;116006;262;51680.37;ampliado;Secundaria incompleta;2500-15000;83;>=75
1346;116025;394;13426.44;nuclear;Profesional completa;2500-15000;25;25-34
1347;116036;798;54648.34;nuclear;Profesional completa;<2500;45;45-54
1348;116038;798;73161.01;ampliado;Profesional incompleta;<2500;58;55-64
1349;116052;527;34586.86;nuclear;Secundaria completa;2500-15000;46;45-54
1350;116054;527;38933.15;ampliado;Primaria incompleta;2500-15000;45;45-54
1351;116067;348;34832.15;ampliado;Sin instruccion;2500-15000;68;65-74
1352;116071;319;30382.42;unipersonal;Posgrado;2500-15000;40;35-44
1353;116081;772;55907.71;ampliado;Profesional completa;<2500;44;35-44
1354;116084;772;18049.01;nuclear;Primaria incompleta;<2500;46;45-54
1355;116094;753;24240.83;ampliado;Primaria completa;>100000;34;25-34
1356;116098;688;34849.62;ampliado;Primaria incompleta;<2500;46;45-54
1357;116099;688;81920.26;nuclear;Secundaria completa;<2500;41;35-44
1358;116117;710;67419.05;ampliado;Secundaria completa;<2500;27;25-34
1359;116127;622;11135.23;unipersonal;Primaria completa;<2500;38;35-44
1360;116128;622;22847;ampliado;Primaria completa;<2500;78;>=75
1361;116132;786;24416.55;nuclear;Primaria completa;<2500;84;>=75
1362;116137;733;13837.54;nuclear;Secundaria completa;<2500;51;45-54
1363;116138;733;45623.86;nuclear;Secundaria completa;<2500;75;>=75
1364;116140;587;21453.27;ampliado;Sin instruccion;<2500;68;65-74
1365;116143;587;18698.74;nuclear;Secundaria completa;<2500;38;35-44
1366;116152;687;26311.44;nuclear;Secundaria completa;<2500;27;25-34
1367;116153;687;15071.92;nuclear;Primaria completa;<2500;31;25-34
1368;116157;673;50843.03;ampliado;Primaria completa;<2500;45;45-54
1369;116160;117;22636.41;ampliado;Primaria completa;2500-15000;44;35-44
1370;116161;117;21099.25;nuclear;Primaria completa;2500-15000;34;25-34
1371;116178;637;16845.71;nuclear;Secundaria incompleta;15000-100000;34;25-34
1372;116190;801;13536.75;nuclear;Primaria completa;>100000;25;25-34
1373;116199;2262;17998.83;nuclear;Secundaria completa;2500-15000;36;35-44
1374;116212;434;70964.85;ampliado;Primaria completa;2500-15000;43;35-44
1375;117010;375;26903.06;ampliado;Primaria incompleta;2500-15000;78;>=75
1376;117011;845;7114.32;nuclear;Sin instruccion;>100000;75;>=75
1377;117014;845;11957.45;ampliado;Primaria incompleta;>100000;62;55-64
1378;117022;578;17281.9;nuclear;Primaria incompleta;15000-100000;70;65-74
1379;117028;640;219212.39;ampliado;Sin instruccion;15000-100000;71;65-74
1380;117039;318;50812.87;nuclear;Sin instruccion;15000-100000;63;55-64
1381;117057;486;9325.3;nuclear;Sin instruccion;2500-15000;47;45-54
1382;117057;486;11781.98;nuclear;Primaria incompleta;2500-15000;32;25-34
1383;117062;1308;78061.91;ampliado;Profesional completa;2500-15000;67;65-74
1384;117069;749;33992.29;nuclear;Secundaria completa;<2500;52;45-54
1385;117075;812;20836.53;unipersonal;Preparatoria completa;<2500;74;65-74
1386;117076;812;108500.01;nuclear;Profesional completa;<2500;32;25-34
1387;117077;812;46300.79;nuclear;Secundaria completa;<2500;43;35-44
1388;117083;682;16394.47;nuclear;Primaria completa;<2500;35;35-44
1389;117090;734;72020.44;nuclear;Secundaria completa;<2500;54;45-54
1390;117092;734;96762.61;nuclear;Secundaria completa;<2500;44;35-44
1391;117093;734;42740.94;nuclear;Profesional completa;<2500;65;65-74
1392;117095;149;9364.48;unipersonal;Secundaria completa;<2500;70;65-74
1393;117107;711;60848.63;ampliado;Sin instruccion;<2500;58;55-64
1394;117110;718;42452.79;nuclear;Secundaria completa;<2500;53;45-54
1395;117118;811;25887.31;nuclear;Primaria completa;<2500;43;35-44
1396;117123;724;8122.08;unipersonal;Sin instruccion;<2500;67;65-74
1397;117128;620;62782.39;nuclear;Primaria incompleta;<2500;63;55-64
1398;117134;304;61717.51;ampliado;Secundaria completa;2500-15000;55;55-64
1399;117150;729;6126.64;ampliado;Primaria completa;>100000;41;35-44
1400;117155;633;18941.41;nuclear;Primaria incompleta;>100000;35;35-44
1401;117159;633;10528.61;unipersonal;Sin instruccion;>100000;71;65-74
1402;117166;649;21169.97;nuclear;Sin instruccion;15000-100000;68;65-74
1403;117186;1120;121747.82;ampliado;Secundaria completa;2500-15000;49;45-54
1404;117194;2178;28432.32;nuclear;Primaria completa;2500-15000;32;25-34
1405;117198;445;20956.9;nuclear;Posgrado;2500-15000;50;45-54
1406;117199;445;31030.17;nuclear;Primaria incompleta;2500-15000;41;35-44
1407;117200;675;15085.95;nuclear;Primaria incompleta;>100000;42;35-44
1408;117212;369;28143.46;nuclear;Profesional completa;2500-15000;34;25-34
1409;117214;1182;25840.13;nuclear;Primaria completa;>100000;35;35-44
1410;118008;375;21051.26;ampliado;Primaria completa;2500-15000;36;35-44
1411;118028;591;8987.12;nuclear;Sin instruccion;>100000;50;45-54
1412;118034;591;31450.92;nuclear;Secundaria completa;>100000;27;25-34
1413;118041;549;42818.28;ampliado;Preparatoria completa;2500-15000;44;35-44
1414;118043;549;9073.8;nuclear;Secundaria incompleta;2500-15000;17;<25
1415;118044;549;30578.75;ampliado;Primaria completa;2500-15000;58;55-64
1416;118058;757;55600.71;nuclear;Profesional completa;<2500;27;25-34
1417;118061;471;27322.27;nuclear;Secundaria completa;>100000;39;35-44
1418;118063;471;14770.17;nuclear;Primaria incompleta;>100000;46;45-54
1419;118071;805;39254.35;ampliado;Primaria incompleta;<2500;46;45-54
1420;118092;259;26593.37;compuesto;Primaria completa;<2500;33;25-34
1421;118105;736;28743.86;nuclear;Secundaria completa;<2500;39;35-44
1422;118112;943;11486.02;ampliado;Primaria completa;<2500;53;45-54
1423;118117;955;74909.41;nuclear;Posgrado;<2500;50;45-54
1424;118120;955;116740;ampliado;Profesional completa;<2500;45;45-54
1425;118139;775;9981.26;unipersonal;Primaria incompleta;<2500;68;65-74
1426;118146;354;57704.36;nuclear;Preparatoria completa;2500-15000;30;25-34
1427;118158;637;24968.11;nuclear;Primaria incompleta;15000-100000;70;65-74
1428;118171;2067;33633.58;nuclear;Primaria completa;2500-15000;43;35-44
1429;118172;2067;7662.35;nuclear;Primaria incompleta;2500-15000;68;65-74
1430;118194;951;11685.09;nuclear;Primaria incompleta;>100000;65;65-74
1431;118195;951;27191.21;ampliado;Sin instruccion;>100000;79;>=75
1432;118198;951;10888.59;nuclear;Primaria completa;>100000;34;25-34
1433;118200;951;14044.3;ampliado;Primaria incompleta;>100000;67;65-74
1434;118215;669;7410.31;nuclear;Primaria incompleta;>100000;33;25-34
1435;119011;571;1608.09;nuclear;Sin instruccion;>100000;57;55-64
1436;119013;571;9875.33;nuclear;Primaria incompleta;>100000;55;55-64
1437;119042;763;15501.13;nuclear;Primaria incompleta;>100000;44;35-44
1438;119043;763;85638.28;ampliado;Profesional completa;>100000;37;35-44
1439;119050;763;34975.64;nuclear;Sin instruccion;>100000;57;55-64
1440;119057;1032;50667.45;nuclear;Secundaria completa;2500-15000;70;65-74
1441;119058;1032;28703.75;ampliado;Preparatoria completa;2500-15000;20;<25
1442;119059;1032;30192.75;nuclear;Secundaria completa;2500-15000;59;55-64
1443;119067;609;21026.13;ampliado;Primaria completa;<2500;27;25-34
1444;119084;688;69681.81;ampliado;Primaria completa;<2500;39;35-44
1445;119085;688;35085.41;nuclear;Preparatoria completa;<2500;28;25-34
1446;119091;694;68557.73;nuclear;Profesional incompleta;<2500;46;45-54
1447;119093;694;25129.47;nuclear;Secundaria completa;<2500;51;45-54
1448;119095;694;37429.51;nuclear;Primaria completa;<2500;42;35-44
1449;119097;589;8771.34;nuclear;Sin instruccion;<2500;61;55-64
1450;119110;843;17290.78;nuclear;Primaria completa;<2500;33;25-34
1451;119118;678;14725.28;nuclear;Secundaria incompleta;<2500;26;25-34
1452;119121;860;102166.15;nuclear;Secundaria completa;<2500;61;55-64
1453;119126;738;19861.54;nuclear;Primaria incompleta;<2500;31;25-34
1454;119134;742;23415.53;nuclear;Secundaria completa;>100000;35;35-44
1455;119135;742;10929.05;nuclear;Primaria incompleta;>100000;47;45-54
1456;119137;742;96515.16;ampliado;Secundaria completa;>100000;27;25-34
1457;119140;304;29489.85;nuclear;Preparatoria incompleta;2500-15000;27;25-34
1458;119146;354;24688.31;nuclear;Preparatoria incompleta;2500-15000;24;<25
1459;119152;729;59693.56;nuclear;Sin instruccion;>100000;60;55-64
1460;119154;729;7924.47;nuclear;Primaria incompleta;>100000;33;25-34
1461;119164;635;8121.08;nuclear;Primaria completa;15000-100000;28;25-34
1462;119177;1587;33573.16;nuclear;Primaria completa;2500-15000;70;65-74
1463;119178;1587;30246;unipersonal;Primaria incompleta;2500-15000;64;55-64
1464;119185;354;16514.43;unipersonal;Sin instruccion;>100000;62;55-64
1465;119193;369;26616.56;nuclear;Preparatoria completa;2500-15000;36;35-44
1466;119194;369;24317.88;nuclear;Preparatoria completa;2500-15000;45;45-54
1467;119198;761;14669.33;nuclear;Primaria incompleta;15000-100000;28;25-34
1468;119198;761;42123.78;ampliado;Primaria completa;15000-100000;51;45-54
1469;119206;760;12229.52;unipersonal;Primaria incompleta;>100000;46;45-54
1470;119207;760;15793.46;ampliado;Primaria completa;>100000;50;45-54
1471;119221;1182;14868.48;nuclear;Primaria incompleta;>100000;29;25-34
1472;121006;1052;15337.86;ampliado;Sin instruccion;<2500;90;>=75
1473;121009;1052;16355.07;nuclear;Secundaria incompleta;<2500;31;25-34
1474;121018;256;7332.86;ampliado;Primaria incompleta;15000-100000;44;35-44
1475;121022;898;7579.18;nuclear;Primaria incompleta;>100000;30;25-34
1476;121024;898;5621.56;ampliado;Sin instruccion;>100000;57;55-64
1477;121027;898;9453.04;ampliado;Sin instruccion;>100000;37;35-44
1478;121029;898;41436.17;nuclear;Secundaria completa;>100000;50;45-54
1479;121065;488;159461.88;nuclear;Posgrado;<2500;50;45-54
1480;121069;2749;3652.96;nuclear;Sin instruccion;>100000;53;45-54
1481;121077;1285;23356.84;ampliado;Primaria incompleta;<2500;29;25-34
1482;121091;2263;10566.97;nuclear;Secundaria completa;15000-100000;36;35-44
1483;121092;2263;22722.58;ampliado;Primaria incompleta;15000-100000;52;45-54
1484;121097;369;19965.14;nuclear;Sin instruccion;15000-100000;39;35-44
1485;121098;369;30089.83;ampliado;Profesional completa;15000-100000;48;45-54
1486;122001;1098;23188.6;ampliado;Preparatoria completa;<2500;37;35-44
1487;122005;1098;39168.65;nuclear;Profesional completa;<2500;60;55-64
1488;122016;256;10648.66;nuclear;Sin instruccion;15000-100000;53;45-54
1489;122017;256;5841.06;unipersonal;Sin instruccion;15000-100000;84;>=75
1490;122022;898;21600.69;unipersonal;Profesional completa;>100000;32;25-34
1491;122031;898;8166.44;nuclear;Primaria incompleta;>100000;38;35-44
1492;122032;1546;16459.96;ampliado;Sin instruccion;15000-100000;58;55-64
1493;122036;1546;12479.1;ampliado;Primaria incompleta;15000-100000;71;65-74
1494;122044;577;3191.97;nuclear;Sin instruccion;>100000;75;>=75
1495;122047;435;287908.7;nuclear;Primaria completa;>100000;30;25-34
1496;122050;435;9594.55;nuclear;Primaria incompleta;>100000;57;55-64
1497;122061;1146;31494.17;nuclear;Primaria completa;<2500;38;35-44
1498;122083;1359;21807.44;nuclear;Secundaria completa;2500-15000;53;45-54
1499;122085;1359;17542.72;ampliado;Sin instruccion;2500-15000;70;65-74
1500;122087;462;14226.78;nuclear;Secundaria completa;>100000;47;45-54
1501;122095;462;15022.2;nuclear;Sin instruccion;>100000;77;>=75
1502;122098;2263;12123.63;ampliado;Sin instruccion;15000-100000;64;55-64
1503;122104;369;8494.12;nuclear;Preparatoria completa;15000-100000;29;25-34
1504;123004;1286;12829.36;nuclear;Preparatoria completa;<2500;35;35-44
1505;123008;1112;21474.81;nuclear;Profesional completa;<2500;74;65-74
1506;123012;1185;101898.82;ampliado;Profesional completa;<2500;58;55-64
1507;123020;951;41336.23;nuclear;Profesional completa;<2500;44;35-44
1508;123022;256;20093.47;ampliado;Primaria incompleta;15000-100000;50;45-54
1509;123031;448;4615.56;ampliado;Primaria incompleta;>100000;48;45-54
1510;123033;448;4426.03;nuclear;Primaria incompleta;>100000;46;45-54
1511;123044;149;13308.26;nuclear;Secundaria completa;2500-15000;35;35-44
1512;123062;1043;113271.52;nuclear;Profesional completa;<2500;45;45-54
1513;123068;964;57160.57;unipersonal;Profesional completa;2500-15000;25;25-34
1514;123069;964;18228.29;nuclear;Primaria completa;2500-15000;56;55-64
1515;123071;1624;22845.83;ampliado;Primaria incompleta;>100000;53;45-54
1516;123076;1624;8053.53;nuclear;Secundaria completa;>100000;37;35-44
1517;123079;1624;5451.43;unipersonal;Sin instruccion;>100000;90;>=75
1518;123086;1914;6452.5;nuclear;Sin instruccion;>100000;31;25-34
1519;123090;1914;5438.25;nuclear;Secundaria completa;>100000;33;25-34
1520;123108;2263;120857.11;nuclear;Profesional completa;15000-100000;54;45-54
1521;124006;995;28208.45;ampliado;Sin instruccion;<2500;63;55-64
1522;124008;995;53149.83;nuclear;Profesional completa;<2500;46;45-54
1523;124013;472;14191.54;nuclear;Sin instruccion;<2500;78;>=75
1524;124014;472;25631.04;ampliado;Sin instruccion;<2500;65;65-74
1525;124023;2969;20920.17;nuclear;Primaria completa;15000-100000;56;55-64
1526;124028;722;38261.27;nuclear;Preparatoria completa;15000-100000;48;45-54
1527;124037;517;13671.22;nuclear;Primaria incompleta;>100000;56;55-64
1528;124038;517;3019.57;nuclear;Primaria completa;>100000;34;25-34
1529;124039;517;8962.93;nuclear;Primaria completa;>100000;34;25-34
1530;124056;577;7044.83;nuclear;Primaria incompleta;>100000;49;45-54
1531;124067;569;1966.02;nuclear;Sin instruccion;>100000;68;65-74
1532;124081;369;12038.03;unipersonal;Preescolar;15000-100000;50;45-54
1533;125001;1005;23779.64;ampliado;Primaria incompleta;<2500;58;55-64
1534;125015;1089;24566.73;ampliado;Secundaria incompleta;<2500;41;35-44
1535;125016;256;9265.17;nuclear;Primaria completa;15000-100000;33;25-34
1536;125032;1093;14478.31;unipersonal;Primaria incompleta;>100000;70;65-74
1537;125054;2749;4936.39;nuclear;Sin instruccion;>100000;52;45-54
1538;125059;2749;6958.91;ampliado;Sin instruccion;>100000;68;65-74
1539;125060;2749;8707.16;nuclear;Primaria completa;>100000;24;<25
1540;125064;1295;27389.35;nuclear;Primaria completa;<2500;40;35-44
1541;125073;1178;77454.76;nuclear;Primaria completa;<2500;52;45-54
1542;125078;1093;23147.81;nuclear;Secundaria completa;<2500;37;35-44
1543;125081;569;10112.44;ampliado;Sin instruccion;>100000;60;55-64
1544;125083;569;16229.05;nuclear;Secundaria completa;>100000;44;35-44
1545;125088;569;6422.44;unipersonal;Sin instruccion;>100000;67;65-74
1546;125091;1194;12644.84;nuclear;Preparatoria completa;2500-15000;44;35-44
1547;125092;1194;10876.52;nuclear;Primaria incompleta;2500-15000;66;65-74
1548;125097;369;9986.62;ampliado;Sin instruccion;15000-100000;74;65-74
1549;126002;1536;51940.91;nuclear;Secundaria completa;<2500;45;45-54
1550;126010;1189;20154.72;nuclear;Profesional incompleta;<2500;51;45-54
1551;126023;496;33314.41;ampliado;Sin instruccion;>100000;53;45-54
1552;126025;496;20841.55;ampliado;Sin instruccion;>100000;74;65-74
1553;126038;1831;16083.69;compuesto;Preparatoria completa;>100000;33;25-34
1554;126055;722;4011.91;nuclear;Sin instruccion;15000-100000;30;25-34
1555;126062;1035;28677.83;nuclear;Posgrado;<2500;55;55-64
1556;126067;852;5835.91;ampliado;Sin instruccion;>100000;67;65-74
1557;126072;852;2973.08;nuclear;Sin instruccion;>100000;39;35-44
1558;126079;964;3559.65;nuclear;Secundaria completa;2500-15000;29;25-34
1559;126082;410;3463.42;unipersonal;Sin instruccion;>100000;73;65-74
1560;126086;410;13006.29;nuclear;Primaria completa;>100000;43;35-44
1561;126088;410;27490.58;ampliado;Primaria completa;>100000;50;45-54
1562;126094;547;31241.37;ampliado;Sin instruccion;2500-15000;62;55-64
1563;126098;547;13907.84;ampliado;Sin instruccion;2500-15000;65;65-74
1564;126104;397;9401.53;nuclear;Primaria completa;>100000;30;25-34
1565;126105;397;12433.74;nuclear;Primaria completa;>100000;32;25-34
1566;127002;1185;13796.42;nuclear;Secundaria incompleta;<2500;38;35-44
1567;127007;957;10533.62;nuclear;Primaria completa;<2500;66;65-74
1568;127009;957;34985.91;nuclear;Secundaria completa;<2500;43;35-44
1569;127018;917;37180.9;nuclear;Preparatoria completa;<2500;41;35-44
1570;127019;917;26334.62;unipersonal;Primaria completa;<2500;83;>=75
1571;127034;722;12328.46;ampliado;Sin instruccion;15000-100000;67;65-74
1572;127043;1141;47491.93;ampliado;Preparatoria completa;<2500;51;45-54
1573;127055;423;4867.23;nuclear;Primaria completa;>100000;24;<25
1574;127072;654;7706.01;unipersonal;Sin instruccion;>100000;78;>=75
1575;128001;288;54836.41;nuclear;Preparatoria completa;<2500;40;35-44
1576;128010;941;31503.26;ampliado;Primaria incompleta;<2500;44;35-44
1577;128030;722;8418.49;unipersonal;Primaria completa;15000-100000;47;45-54
1578;128046;1068;18525.79;ampliado;Primaria completa;<2500;63;55-64
1579;128053;577;8322.76;nuclear;Secundaria completa;>100000;41;35-44
1580;128064;654;8191.7;nuclear;Sin instruccion;>100000;47;45-54
1581;128066;654;20181.2;nuclear;Sin instruccion;>100000;46;45-54
1582;128069;654;7077.57;nuclear;Primaria incompleta;>100000;23;<25
1583;128071;1500;24867.28;nuclear;Sin instruccion;2500-15000;55;55-64
1584;128074;1500;4945.26;nuclear;Sin instruccion;2500-15000;67;65-74
1585;128079;1194;9678.72;nuclear;Secundaria incompleta;2500-15000;45;45-54
1586;128096;420;7359.89;nuclear;Primaria completa;>100000;49;45-54
1587;128100;1114;29369.06;nuclear;Sin instruccion;15000-100000;49;45-54
1588;128102;1114;32483.74;ampliado;Primaria incompleta;15000-100000;31;25-34
1589;129007;1064;17759.5;ampliado;Sin instruccion;<2500;69;65-74
1590;129012;1051;6855.79;nuclear;Primaria completa;<2500;45;45-54
1591;129024;448;35443.28;nuclear;Sin instruccion;>100000;59;55-64
1592;129031;496;18054.98;nuclear;Preparatoria incompleta;>100000;45;45-54
1593;129035;496;16453.89;ampliado;Sin instruccion;>100000;58;55-64
1594;129036;496;31483.59;ampliado;Primaria incompleta;>100000;97;>=75
1595;129037;496;18147.65;nuclear;Preparatoria completa;>100000;78;>=75
1596;129042;1831;10969.23;nuclear;Primaria incompleta;>100000;26;25-34
1597;129043;1831;17416.66;nuclear;Secundaria completa;>100000;32;25-34
1598;129049;1831;15516.25;ampliado;Primaria completa;>100000;70;65-74
1599;129073;964;20310.25;nuclear;Preparatoria completa;2500-15000;38;35-44
1600;129086;1359;100433.95;ampliado;Preparatoria completa;2500-15000;32;25-34
1601;129102;2263;17396.56;nuclear;Primaria incompleta;15000-100000;38;35-44
1602;129109;547;25048.83;nuclear;Primaria incompleta;2500-15000;36;35-44
1603;129815;1112;51670.36;ampliado;Profesional incompleta;<2500;62;55-64
1604;131001;777;10860.16;nuclear;Secundaria completa;2500-15000;56;55-64
1605;131015;511;41036.75;nuclear;Primaria completa;<2500;64;55-64
1606;131023;489;17719.3;unipersonal;Primaria completa;<2500;20;<25
1607;131027;2567;28809.85;unipersonal;Primaria incompleta;>100000;80;>=75
1608;131043;321;36050.95;nuclear;Primaria completa;>100000;59;55-64
1609;131044;321;15959.64;nuclear;Secundaria completa;>100000;46;45-54
1610;131053;1903;16414.91;nuclear;Preparatoria completa;2500-15000;23;<25
1611;131055;1088;25430.13;unipersonal;Primaria completa;2500-15000;75;>=75
1612;132005;2018;7576.66;ampliado;Sin instruccion;>100000;96;>=75
1613;132008;2018;27271.94;compuesto;Primaria incompleta;>100000;54;45-54
1614;132023;640;13409.09;nuclear;Primaria completa;<2500;48;45-54
1615;132043;1245;27576.85;ampliado;Primaria incompleta;>100000;64;55-64
1616;132046;1245;34244.62;ampliado;Primaria completa;>100000;48;45-54
1617;132049;1245;17260.49;ampliado;Primaria completa;>100000;54;45-54
1618;132064;2678;13106.65;nuclear;Preparatoria completa;2500-15000;55;55-64
1619;133004;1907;3811.01;nuclear;Primaria completa;>100000;22;<25
1620;133005;1907;16221.99;nuclear;Primaria incompleta;>100000;53;45-54
1621;133018;831;27735.8;nuclear;Primaria completa;<2500;75;>=75
1622;133031;626;62760.54;nuclear;Primaria completa;<2500;63;55-64
1623;133034;626;18362.48;nuclear;Primaria incompleta;<2500;52;45-54
